HOMO,LUMO,Gap Energy,Dipole Moment,Ionization Potential,Electron Affinity,Electronegativity,Global Hardness,Global Softness,Electrophilicity,Fraction of electron transferred,IE (%)
-6.12,-1.852,4.268,3.425,6.996,1.446,4.221,2.775,0.36,3.211,0.501,13
-6.034,-1.788,4.246,2.976,6.749,1.404,4.076,2.673,0.374,3.109,0.547,19
-6.048,-1.809,4.239,3.872,7.561,1.427,4.494,3.067,0.326,3.292,0.409,14
-6.091,-1.71,4.381,4.252,6.928,1.321,4.125,2.804,0.357,3.034,0.513,24
-5.954,-1.728,4.226,2.437,6.525,1.366,3.946,2.579,0.388,3.018,0.592,26
-5.931,-1.596,4.335,3.239,8.097,1.244,4.67,3.427,0.292,3.183,0.34,38
-5.968,-1.84,4.128,3.246,6.301,1.524,3.912,2.388,0.419,3.205,0.646,88
-5.973,-1.861,4.112,3.531,6.3,1.545,3.922,2.378,0.421,3.235,0.647,93
-6.008,-1.862,4.146,3.897,6.334,1.584,3.959,2.375,0.421,3.3,0.64,72
-6.081,-1.496,4.585,4.873,6.6,1.125,3.862,2.738,0.365,2.725,0.573,28
-5.937,-1.798,4.139,5.17,6.448,1.407,3.927,2.521,0.397,3.059,0.609,73
-5.843,-1.831,4.012,5.33,6.363,1.429,3.896,2.467,0.405,3.077,0.629,21
-6.127,-3.17,2.957,2.695,6.73,2.781,4.756,1.975,0.506,5.727,0.568,77
-6.262,-3.374,2.888,2.747,6.818,2.956,4.887,1.931,0.518,6.183,0.547,49
-6.48,-2.062,4.418,5.102,7.018,1.63,4.324,2.694,0.371,3.471,0.497,61
-6.345,-2.064,4.281,5.041,6.968,1.607,4.287,2.681,0.373,3.429,0.506,32
-5.028,-1.204,3.824,7.279,5.495,0.882,3.188,2.306,0.434,2.204,0.826,61
-5.771,-1.731,4.039,1.205,6.255,1.347,3.801,2.454,0.408,2.944,0.652,73
-6.001,-1.739,4.262,3.823,6.705,1.334,4.02,2.686,0.372,3.008,0.555,23
-5.961,-1.759,4.202,2.957,6.71,1.361,4.035,2.675,0.374,3.044,0.554,16
-6.218,-1.661,4.557,4.438,8.933,1.457,5.195,3.738,0.268,3.61,0.241,17
-6.02,-1.754,4.266,3.019,6.725,1.358,4.041,2.684,0.373,3.043,0.551,18
-6.032,-1.776,4.255,3.849,6.74,1.38,4.06,2.68,0.373,3.076,0.549,16
-6.628,-2.88,3.748,8.403,7.268,2.476,4.872,2.396,0.417,4.953,0.444,93
-5.442,-1.264,4.179,6.411,5.972,0.94,3.456,2.516,0.397,2.373,0.704,86
-6.487,-2.683,3.804,5.488,7.298,2.287,4.792,2.505,0.399,4.584,0.441,96
-6.344,-2.126,4.218,3.114,8.473,1.664,5.068,3.404,0.294,3.773,0.284,86
-6.404,-2.424,3.98,1.184,6.981,1.902,4.441,2.539,0.394,3.883,0.504,98
-5.178,-1.149,4.03,3.354,5.178,1.149,3.163,2.015,0.496,-0.791,0.411,74.8
-5.52,-1.452,4.068,5.64,5.52,1.452,3.486,2.034,0.492,-0.872,0.328,92.7
-5.858,-1.725,4.132,3.77,5.858,1.725,3.791,2.066,0.484,-0.948,0.249,86.7
-5.999,-2.58,3.419,2.29,5.999,2.58,4.289,1.71,0.585,-1.072,0.155,91.7
-5.859,-2.334,3.525,2.284,5.859,2.334,4.096,1.762,0.567,-1.024,0.205,89.6
-5.853,-2.036,3.817,3.238,5.853,2.036,3.945,1.909,0.524,-0.986,0.229,92
-5.62,-1.937,3.683,3.195,5.62,1.937,3.778,1.842,0.543,-0.945,0.283,92
-5.909,-2.112,3.797,2.853,5.909,2.112,4.011,1.898,0.527,-1.003,0.213,84
-5.671,-2.011,3.66,2.736,5.671,2.011,3.841,1.83,0.546,-0.96,0.267,90
-5.867,-2.749,3.119,1.373,5.867,2.749,4.308,1.559,0.641,-1.077,0.164,92
-5.546,-2.24,3.307,4.621,5.546,2.24,3.893,1.653,0.605,-0.973,0.28,80.9
-5.515,-2.193,3.322,2.95,5.515,2.193,3.854,1.661,0.602,-0.964,0.291,84.5
-4.923,-1.513,3.41,1.716,4.923,1.513,3.218,1.705,0.587,-0.805,0.47,85.5
-5.919,-3.773,2.147,5.587,5.919,3.773,4.846,1.073,0.932,-1.212,-0.012,88.2
-5.532,-2.805,2.727,1.035,5.532,2.805,4.169,1.363,0.734,-1.042,0.239,90.5
-5.194,-2.717,2.477,1.505,5.194,2.717,3.955,1.239,0.807,-0.989,0.349,92.4
-5.272,-2.724,2.548,2.792,5.272,2.724,3.998,1.274,0.785,-1,0.323,95.9
-5.652,-3.138,2.514,3.754,5.652,3.138,4.395,1.257,0.795,-1.099,0.169,96.7
-5.054,-2.993,2.061,5.09,5.054,2.993,4.024,1.03,0.97,-1.006,0.386,98.6
-5.712,-3.234,2.479,4.652,5.712,3.234,4.473,1.239,0.807,-1.118,0.14,91.9
-5.697,-3.188,2.509,4.543,5.697,3.188,4.443,1.254,0.797,-1.111,0.15,95.7
-5.326,-2.39,2.936,2.101,5.326,2.39,3.858,1.468,0.681,-0.965,0.328,97.1
-5.393,-2.421,2.972,1.374,5.393,2.421,3.907,1.486,0.673,-0.977,0.307,94.9
-5.327,-1.98,3.347,1.176,5.327,1.98,3.653,1.673,0.598,-0.913,0.349,92.2
-5.622,-2.009,3.613,1.471,5.622,2.009,3.815,1.807,0.554,-0.954,0.278,88.8
-5.759,-2.896,2.864,4.397,5.759,2.896,4.328,1.432,0.698,-1.082,0.172,91.2
-6.243,-2.509,3.734,1.908,6.243,2.509,4.376,1.867,0.536,-1.094,0.119,84
-5.501,-2.305,3.196,1.096,5.501,2.305,3.903,1.598,0.626,-0.976,0.287,93
-5.428,-2.526,2.902,7.381,5.428,2.526,3.977,1.451,0.689,-0.994,0.29,88
-5.954,-1.931,4.023,1.79,5.954,1.931,3.943,2.011,0.497,-0.986,0.218,96.2
-4.477,-2.25,2.227,3.988,4.477,2.25,3.364,1.113,0.898,-0.841,0.654,85.2
-5.493,-2.647,2.845,4.084,5.493,2.647,4.07,1.423,0.703,-1.017,0.264,78.1
-4.726,-2.486,2.24,2.448,4.726,2.486,3.606,1.12,0.893,-0.902,0.542,86.3
-5.828,-3.004,2.823,4.884,5.828,3.004,4.416,1.412,0.708,-1.104,0.143,84.2
-5.944,-2.545,3.399,2.57,5.944,2.545,4.244,1.7,0.588,-1.061,0.169,90.2
-5.965,-2.549,3.416,3.729,5.965,2.549,4.257,1.708,0.585,-1.064,0.165,95
-6.02,-2.614,3.406,3.737,6.02,2.614,4.317,1.703,0.587,-1.079,0.148,95
-5.942,-2.573,3.369,3.652,5.942,2.573,4.258,1.685,0.594,-1.064,0.167,95
-5.825,-2.639,3.185,3.598,5.825,2.639,4.232,1.593,0.628,-1.058,0.185,94.9
-5.932,-2.123,3.809,3.937,5.932,2.123,4.028,1.904,0.525,-1.007,0.208,93.1
-5.941,-2.147,3.794,3.643,5.941,2.147,4.044,1.897,0.527,-1.011,0.205,95.6
-5.97,-2.181,3.789,3.644,5.97,2.181,4.076,1.894,0.528,-1.019,0.196,95.9
-6.028,-2.235,3.793,3.787,6.028,2.235,4.132,1.896,0.527,-1.033,0.182,96.1
-5.891,-2.288,3.602,3.841,5.891,2.288,4.089,1.801,0.555,-1.022,0.203,92.9
-5.292,-2.477,2.815,3.62,5.292,2.477,3.885,1.407,0.711,-0.971,0.332,98.8
-5.616,-3.707,1.909,5.934,5.616,3.707,4.661,0.955,1.048,-1.165,0.083,94.2
-5.609,-3.712,1.897,4.893,5.609,3.712,4.66,0.949,1.054,-1.165,0.084,92
-5.519,-2.311,3.209,3.764,5.519,2.311,3.915,1.604,0.623,-0.979,0.282,98.8
-5.529,-1.9,3.629,3.872,5.529,1.9,3.715,1.815,0.551,-0.929,0.305,90.1
-5.305,-3.051,2.254,1.388,5.305,3.051,4.178,1.127,0.887,-1.045,0.285,96.7
-5.895,-2.136,3.759,8.315,5.895,2.136,4.016,1.88,0.532,-1.004,0.214,92
-5.925,-2.177,3.747,8.204,5.925,2.177,4.051,1.874,0.534,-1.013,0.205,98
-5.962,-2.22,3.742,8.249,5.962,2.22,4.091,1.871,0.535,-1.023,0.195,97
-5.649,-1.998,3.651,2.965,5.649,1.998,3.823,1.826,0.548,-0.956,0.273,96
-6.453,-1.655,4.798,10.458,6.453,1.655,4.054,2.399,0.417,3.42536807,0.614,87.36
-6.787,-2.709,4.078,13.371,6.787,2.709,4.748,2.039,0.49,5.52807847,0.552,93.32
